model,id,orig,min,max,mean,std
EleutherAI-pythia-410m,27,0.2,0.0,0.9,0.36,0.4054626986542659
Falcon-7b-instruct,27,0.0,0.0,0.0,0.0,0.0
GPT2-medium,28,0.0,0.0,0.9,0.11,0.27
EleutherAI-pythia-410m,28,0.0,0.0,0.5,0.0875,0.1690968657308585
Falcon-7b-instruct,28,0.8,0.0,0.8,0.525,0.3269174207655505
GPT2-medium,29,0.8,0.0,0.9,0.2125,0.3689088640843426
EleutherAI-pythia-410m,29,0.0,0.0,0.0,0.0,0.0
Falcon-7b-instruct,29,0.9,0.0,0.9,0.475,0.3191786333700926
GPT2-medium,30,0.0,0.0,0.1,0.01,0.03
EleutherAI-pythia-410m,30,0.0,0.0,0.8,0.325,0.373329613076702
Falcon-7b-instruct,30,0.5,0.0,0.75,0.275,0.2839454172900136
GPT2-medium,31,0.0,0.0,0.1,0.0222222222222222,0.0415739709641549
EleutherAI-pythia-410m,31,0.0,0.0,0.2,0.0222222222222222,0.0628539361054709
Falcon-7b-instruct,31,0.8,0.0,0.8,0.2888888888888889,0.3177855476905575
GPT2-medium,32,0.5,0.0,0.7,0.37,0.2051828452868319
EleutherAI-pythia-410m,32,0.2,0.0,0.9,0.4444444444444444,0.3531166351571267
Falcon-7b-instruct,32,0.75,0.5,0.95,0.7125,0.1745530005471117
GPT2-medium,33,0.0,0.0,0.0,0.0,0.0
EleutherAI-pythia-410m,33,0.0,0.0,0.8,0.16,0.32
Falcon-7b-instruct,33,0.5,0.0,0.5,0.2777777777777778,0.2484519974999766
GPT2-medium,34,0.0,0.0,0.8,0.1444444444444444,0.2793290019994785
EleutherAI-pythia-410m,34,0.5,0.0,0.5,0.05,0.15
Falcon-7b-instruct,34,0.85,0.8,0.95,0.845,0.0567890834580027
GPT2-medium,35,0.0,0.0,0.8,0.16,0.32
EleutherAI-pythia-410m,35,0.0,0.0,0.8,0.0888888888888888,0.2514157444218836
Falcon-7b-instruct,35,0.8,0.0,0.95,0.5349999999999999,0.3654107278118692
GPT2-medium,36,0.0,0.0,0.8,0.1,0.2408318915758459
EleutherAI-pythia-410m,36,0.5,0.0,0.5,0.075,0.16393596310755
Falcon-7b-instruct,36,0.9,0.0,0.9,0.4777777777777778,0.3909469352390929
GPT2-medium,37,0.0,0.0,0.9,0.13,0.268514431641951
EleutherAI-pythia-410m,37,0.0,0.0,0.9,0.22,0.3487119154832538
Falcon-7b-instruct,37,0.8,0.0,0.85,0.635,0.2530316185775999
GPT2-medium,38,0.0,0.0,1.0,0.19,0.3806573262134856
EleutherAI-pythia-410m,38,0.8,0.0,0.9,0.325,0.420565096031518
Falcon-7b-instruct,38,0.0,0.0,0.9,0.4333333333333333,0.4068851871911234
GPT2-medium,39,0.0,0.0,0.2,0.0333333333333333,0.0666666666666666
EleutherAI-pythia-410m,39,0.0,0.0,0.9,0.1149999999999999,0.2720753572082558
Falcon-7b-instruct,39,0.5,0.0,0.8,0.43,0.328785644455472
